name,betweenness_centrality,degree_centrality,eigenvector_centrality
Gaunt,0.05630630630630631,0.13513513513513514,0.17412930383643616
KingRichard,0.35162305162305163,0.43243243243243246,0.3865927690428731
Bolingbroke,0.2632167882167882,0.5135135135135136,0.44489696516298366
Mowbray,0.0,0.08108108108108109,0.13293456291572509
DuchessGlouc,0.0,0.02702702702702703,0.022547040620750306
Aumerle,0.13448090948090946,0.35135135135135137,0.3105827482031678
Marshal,0.10833333333333334,0.1891891891891892,0.19515768297677433
2Herald,0.0,0.05405405405405406,0.029028750900137547
1Herald,0.0,0.05405405405405406,0.029028750900137547
Green,0.00972043472043472,0.13513513513513514,0.1777140442681299
Bushy,0.011472186472186473,0.16216216216216217,0.21160141317273165
York,0.10898040898040898,0.2702702702702703,0.29559814007614604
Queen,0.25237737737737737,0.21621621621621623,0.18115193659006587
Northumberland,0.06329901329901332,0.24324324324324326,0.2563348125842542
Ross,0.0,0.08108108108108109,0.10934392195175999
Willoughby,0.001001001001001001,0.10810810810810811,0.14323129085636174
Servingman,0.0,0.02702702702702703,0.038275232665184074
Bagot,0.0015515515515515514,0.10810810810810811,0.14823263109571527
Percy,0.0005505505505505505,0.08108108108108109,0.1310133009653847
Berkeley,0.0,0.05405405405405406,0.09079793680755675
Salisbury,0.05405405405405406,0.08108108108108109,0.09181253559747733
WelshCaptain,0.0,0.02702702702702703,0.011888323484818303
Carlisle,0.004804804804804805,0.13513513513513514,0.19704099679014608
Scroop,0.0,0.05405405405405406,0.09027316663686816
1Lady,0.0,0.02702702702702703,0.02345648888427482
2Lady,0.0,0.02702702702702703,0.02345648888427482
Gardener,0.1066066066066066,0.08108108108108109,0.024270441803174503
1Man,0.0,0.02702702702702703,0.003142743878950773
2Man,0.0,0.02702702702702703,0.003142743878950773
Fitzwater,0.006156156156156155,0.08108108108108109,0.10478622245525761
Surrey,0.0,0.05405405405405406,0.05378340287495748
Abbot,0.0,0.08108108108108109,0.12333577191556275
DuchessOfYork,0.0,0.08108108108108109,0.13609743546091946
1Servant,0.0,0.02702702702702703,0.014424593507245382
Exton,0.1066066066066066,0.10810810810810811,0.11140017175423954
2Servant,0.0,0.02702702702702703,0.014424593507245382
Groom,0.0,0.05405405405405406,0.05750375289938972
Keeper,0.0,0.05405405405405406,0.05750375289938972
